model_id,estimator,omitted_panel_id,omitted_case_id,omitted_province,omitted_city,omitted_exit_type,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,absolute_delta_relative_to_full_effect,sign_changed,matrix_rank,columns,converged,iterations,note,scaling_rule
matched_gold_historical_lpm,lpm,gold_0029,expand_js_jiangning_guozi,Jiangsu,Nanjing Jiangning,nominal_exit,0,0.06637998,0.06644465,0.00006466,0.00006466,0.00097411,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0030,expand_js_changshu_invest,Jiangsu,Changshu,functional_transfer,1,0.06637998,0.04847717,-0.01790281,0.01790281,0.26970198,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0031,expand_ah_suzhou_chengtou,Anhui,Suzhou,nominal_exit,0,0.06637998,0.06549619,-0.00088379,0.00088379,0.01331414,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0032,expand_hb_huangshi_chengfa,Hubei,Huangshi,nominal_exit,0,0.06637998,0.06555773,-0.00082226,0.00082226,0.01238713,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0033,expand_js_yancheng_chengnan,Jiangsu,Yancheng,nominal_exit,0,0.06637998,0.06547868,-0.00090130,0.00090130,0.01357794,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0034,expand_js_suzhou_xiangcheng,Jiangsu,Suzhou Xiangcheng,nominal_exit,0,0.06637998,0.07301599,0.00663601,0.00663601,0.09997003,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0035,expand_sd_linyi_chengtou,Shandong,Linyi,nominal_exit,0,0.06637998,0.06552151,-0.00085848,0.00085848,0.01293279,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0036,expand_jx_jian_chengtou,Jiangxi,Ji'an,nominal_exit,0,0.06637998,0.06589994,-0.00048004,0.00048004,0.00723177,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0037,expand_hen_luoyang_chengxiang,Henan,Luoyang,nominal_exit,0,0.06637998,0.06557380,-0.00080619,0.00080619,0.01214505,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0038,expand_js_zhangjiagang_chengtou,Jiangsu,Zhangjiagang,nominal_exit,0,0.06637998,0.07301599,0.00663601,0.00663601,0.09997003,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0039,expand_tj_jinnan_chengtou,Tianjin,Tianjin Jinnan,nominal_exit,0,0.06637998,0.06608237,-0.00029762,0.00029762,0.00448352,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0040,expand_ah_luan_chengtou,Anhui,Lu'an,nominal_exit,0,0.06637998,0.06550395,-0.00087603,0.00087603,0.01319725,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0041,expand_js_taizhou_chengtou,Jiangsu,Taizhou,nominal_exit,0,0.06637998,0.06578954,-0.00059044,0.00059044,0.00889487,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0042,expand_jx_jingdezhen_chengtou,Jiangxi,Jingdezhen,nominal_exit,0,0.06637998,0.06567268,-0.00070730,0.00070730,0.01065536,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0043,expand_hb_jingmen_chengtou,Hubei,Jingmen,nominal_exit,0,0.06637998,0.06555101,-0.00082897,0.00082897,0.01248832,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0044,expand_jx_shangrao_chengtou,Jiangxi,Shangrao,nominal_exit,0,0.06637998,0.06575146,-0.00062853,0.00062853,0.00946863,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0045,expand_js_huaian_touzi,Jiangsu,Huai'an,nominal_exit,0,0.06637998,0.06562575,-0.00075423,0.00075423,0.01136230,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0046,expand_hn_yiyang_jiaotou,Hunan,Yiyang,nominal_exit,0,0.06637998,0.06549521,-0.00088477,0.00088477,0.01332891,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0047,expand_js_xinghua_guotou,Jiangsu,Xinghua,nominal_exit,0,0.06637998,0.06578954,-0.00059044,0.00059044,0.00889487,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0048,expand_sc_leshan_guozi,Sichuan,Leshan,nominal_exit,0,0.06637998,0.06549391,-0.00088607,0.00088607,0.01334845,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0049,expand_sd_dezhou_deda,Shandong,Dezhou,nominal_exit,0,0.06637998,0.06568571,-0.00069427,0.00069427,0.01045903,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0050,expand_jx_fuzhou_guozi,Jiangxi,Fuzhou,nominal_exit,0,0.06637998,0.06596291,-0.00041707,0.00041707,0.00628310,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0051,sch_20260630_0155,Yunnan,Kunming,nominal_exit,0,0.06637998,0.06556550,-0.00081449,0.00081449,0.01227006,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0053,sch_20260630_0027,Anhui,Bozhou,nominal_exit,0,0.06637998,0.06547910,-0.00090088,0.00090088,0.01357155,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0054,sch_20260630_0055,Jiangxi,Shangrao,nominal_exit,0,0.06637998,0.06575146,-0.00062853,0.00062853,0.00946863,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0055,sch_20260630_0151,Hebei,Shijiazhuang,nominal_exit,0,0.06637998,0.06559183,-0.00078816,0.00078816,0.01187344,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0056,sch_20260630_0052,Jiangsu,Nanjing,nominal_exit,0,0.06637998,0.06644465,0.00006466,0.00006466,0.00097411,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0057,sch_20260630_0019,Jiangsu,Haian,nominal_exit,0,0.06637998,0.06549918,-0.00088081,0.00088081,0.01326916,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0058,sch_20260630_0142,Jiangsu,Gaochun,nominal_exit,0,0.06637998,0.06644465,0.00006466,0.00006466,0.00097411,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0059,sch_20260630_0068,Zhejiang,Jiaxing,nominal_exit,0,0.06637998,0.08249685,0.01611686,0.01611686,0.24279706,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0060,expand_gx_nanning_chengtou,Guangxi,Nanning,nominal_exit,0,0.06637998,0.06548374,-0.00089624,0.00089624,0.01350169,False,2,2,True,1,,full-sample standardization retained after deletion
