validation_unit_id,issuer_key,issuer_name,scope_disposition,screen_status,origin_count,source_row_ids,reference_case_id,reference_label,outcome_status,origin_document_ids_missing,current_scope_document_ids
mv_cf9e6f71a930,伊犁哈萨克自治州财通国有资产经营有限责任公司,伊犁哈萨克自治州财通国有资产经营有限责任公司,eligible,screen_positive_nominal,1,exp4_20260703_0013,,,unknown,0,doc_exp4_20260703_0013_005
mv_d0781141b04d,山东高速集团有限公司,山东高速集团有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0236,,,unknown,0,doc_exp10_20260704_0236_003
mv_d84cf8be0bd1,湖北能源集团股份有限公司,湖北能源集团股份有限公司,ineligible,screened_no_direct_formal_event,1,exp10_20260704_0301,,,unknown,0,doc_exp10_20260704_0301_005
mv_dc10a1d093cf,山西建设投资集团有限公司,山西建设投资集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0101,,,unknown,0,doc_sch_20260630_0101_008;web_sse_shanxi_construction_2025_annual
mv_dd32227a7cc7,北京市海淀区国有资本运营有限公司,北京市海淀区国有资本运营有限公司,eligible,screen_positive_nominal,2,exp_20260703_0015;exp_20260703_0018,,,unknown,0,doc_exp_20260703_0015_008
mv_dd84e076bf32,贵阳市交通运营集团有限公司,贵阳市交通运营集团有限公司,eligible,screened_no_direct_formal_event,1,pilot_gz_001_alt_rail,,,unknown,1,web_guiyang_2022_midyear_bond_report
mv_dda0f3c66afa,爱尔医疗投资集团有限公司,爱尔医疗投资集团有限公司,ineligible,screened_no_direct_formal_event,1,sch_20260630_0084,,,unknown,0,doc_sch_20260630_0084_005
mv_dea7fe1c1704,台州市椒江区社会事业发展集团有限公司,台州市椒江区社会事业发展集团有限公司,eligible,screen_positive_nominal,1,exp5_20260703_0004,,,unknown,0,doc_exp5_20260703_0004_008
mv_df87c57ef59b,湖南省高速公路集团有限公司,湖南省高速公路集团有限公司,ineligible,screen_positive_nominal,1,exp10_20260704_0064,,,unknown,0,doc_exp10_20260704_0064_007
mv_e26edfa3bada,宜昌城发实业投资有限公司,宜昌城发实业投资有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0071,,,unknown,0,doc_sch_20260630_0071_008
mv_e2b7b3bbc9d5,义乌中国小商品城控股集团有限公司,义乌中国小商品城控股集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0078,,,unknown,0,doc_sch_20260630_0078_004
mv_e4cd1cefc02b,扬州新材料投资集团有限公司,扬州新材料投资集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0121,,,unknown,0,doc_sch_20260630_0121_005
mv_e6fd4cae85c0,太仓娄城高新集团有限公司,太仓娄城高新集团有限公司,eligible,screen_positive_nominal,1,exp8_20260703_0004,,,unknown,0,doc_exp8_20260703_0004_004
mv_e94895dfa190,淮北市建投控股集团有限公司,淮北市建投控股集团有限公司,eligible,screen_positive_nominal,1,exp6_20260703_0005,,,unknown,0,doc_exp6_20260703_0005_006
mv_ea3d4bb7e80e,苏州市相城市政建设投资集团有限公司,苏州市相城市政建设投资(集团)有限公司,eligible,screen_positive_nominal,1,exp6_20260703_0025,,,unknown,0,doc_exp6_20260703_0025_004
mv_ed1f2e005d13,淮安新城投资开发集团有限公司,淮安新城投资开发集团有限公司,eligible,screen_positive_nominal,1,exp2_20260703_0003,,,unknown,0,doc_exp2_20260703_0003_005
mv_ed36cca33747,山西路桥建设集团有限公司,山西路桥建设集团有限公司,ineligible,screen_positive_nominal,1,sch_20260630_0030,,,unknown,0,doc_sch_20260630_0030_005;doc_sch_20260630_0030_010
mv_f26b7d84a6c5,南京江宁科学园发展集团有限公司,南京江宁科学园发展集团有限公司,eligible,screen_positive_nominal,1,sch_20260630_0075,,,unknown,0,doc_sch_20260630_0075_003
mv_f28cc439afa7,镇江文化广电产业集团有限公司,镇江文化广电产业集团有限公司,ineligible,screen_positive_nominal,1,exp8_20260703_0034,,,unknown,0,doc_exp8_20260703_0034_005
mv_f442cd327364,陕西建工控股集团有限公司,陕西建工控股集团有限公司,ineligible,screen_positive_nominal,4,sch_20260630_0072;sch_20260630_0123;sch_20260630_0153;sch_20260630_0171,,,unknown,0,doc_sch_20260630_0072_007
mv_fa27aec421d1,无锡华光环保能源集团股份有限公司,无锡华光环保能源集团股份有限公司,ineligible,screen_positive_nominal,1,exp9_20260704_0230,,,unknown,0,doc_exp9_20260704_0230_001;doc_exp9_20260704_0230_007
mv_fd4d75a3cfd7,江苏省广播电视集团有限公司,江苏省广播电视集团有限公司,ineligible,screened_no_direct_formal_event,1,exp9_20260704_0215,,,unknown,0,doc_exp9_20260704_0215_003
mv_fdbd697a93bc,镇江文化旅游产业集团有限责任公司,镇江文化旅游产业集团有限责任公司,eligible,screen_positive_nominal,1,exp8_20260703_0088,,,unknown,0,doc_exp8_20260703_0088_004;doc_exp8_20260703_0088_007
