c_addr_id,addr_name,addr_name_chn,c_admin_type,c_admin_cat_code,x_coord,y_coord,CHGIS_PT_ID,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,first_entry_year,last_entry_year
8102,Luyi,鹿邑,Xian,21,115.48136139,33.860767365,606,34,25,11,0,34,1646,1898
7396,Xing Xian,興縣,Xian,21,111.12374878,38.472667694,1096,34,24,11,0,34,1655,1894
7922,Yongxin,永新,Xian,21,114.23686981,26.94556427,830,34,23,11,0,34,1658,1898
4682,Qingyang,青陽,Xian,21,117.863052,30.636639,41346,34,23,25,34,0,1404,1642
8109,Xiangcheng,項城,Xian,21,114.83288574,33.209308624,604,34,23,11,0,34,1652,1898
7257,Jiaohe,交河,Xian,21,116.2851181,38.017044067,52,34,22,13,0,34,1637,1898
7437,Xia Xian,夏縣,Xian,21,111.22005463,35.137451172,1154,34,22,14,0,34,1652,1898
6793,Huangping Zhou,黃平州,Zhou,215,107.90213776,26.895835876,499,34,22,12,0,34,1697,1898
8096,Yucheng,虞城,Xian,21,115.90461731,34.519340515,584,34,20,14,0,34,1646,1890
7383,Yutian,玉田,Xian,21,117.754776,39.883670807,19,34,19,16,0,34,1647,1895
4693,Jixi,績溪,Xian,21,118.58410645,30.077772141,1694,34,16,26,34,0,1390,1640
5612,Baling,巴陵,Xian,21,113.097656,29.37126,42101,33,33,20,33,0,1385,1628
20242,Huguang Dao,湖廣道,Dao,24,,,,33,33,0,0,33,1649,1723
20058,Mongol Plain Yellow Banner,蒙古正黃旗,Baqi,9,,,,33,33,0,0,33,1739,1898
5185,Chang'an,長安,Xian,21,108.906976,34.246423,70626,33,33,23,33,0,1385,1634
4939,Zhucheng,諸城,Xian,21,119.403984,35.993355,85368,33,32,13,32,1,1384,1659
5737,Suining,遂寧,Xian,21,105.812285,30.194462,96332,33,32,19,32,1,1406,1809
5591,Gong'an,公安,Xian,21,112.226486,30.057533,43687,33,31,19,32,1,1404,1634
5614,Huarong,華容,Xian,21,112.559288,29.518757,42107,33,31,19,33,0,1385,1634
5400,Zhuji,諸暨,Xian,21,120.227661,29.713137,40796,33,28,18,33,0,1371,1634
7162,Dingyuan,定遠,Xian,21,101.53560638,25.317525864,1559,33,25,11,0,33,1661,1898
8880,Xiuwen,修文,Xian,21,106.59192657,26.842996597,489,33,23,10,0,33,1697,1904
8243,Qianjiang,潛江,Xian,21,112.89295959,30.420951843,1761,33,22,11,2,31,1637,1880
7877,Qianshan,鉛山,Xian,21,117.77658844,28.208450317,810,33,22,14,0,33,1736,1894
8967,Huayin,華陰,Xian,21,110.0893631,34.568309784,954,33,21,15,0,33,1609,1894
7759,Jixi,績溪,Xian,21,118.58410645,30.077772141,1694,33,19,15,0,33,1651,1903
8324,Qingquan,清泉,Xian,21,112.59703827,26.90161705,731,33,13,22,0,33,1756,1898
5910,He Zhou,合州,Zhou,215,106.25955963,30.00394249,115318,32,32,21,32,0,1441,1643
5157,Shangcheng,商城,Xian,21,115.407059,31.803518,82603,32,32,8,32,0,1478,1643
7479,Xinzhou Zhilizhou,忻州直隸州,Zhilizhou,212,112.73120117,38.398563385,9684,32,32,0,0,32,1646,1883
20067,Han Army Plain Blue Banner,漢軍正藍旗,Baqi,9,,,,32,32,1,0,32,1655,1898
4842,Zhangqiu,章丘,Xian,21,117.46158,36.75417,1037,32,32,18,32,0,1371,1640
4743,Dai Zhou,代州,Zhou,215,112.94904327,39.060390472,95101,32,31,20,32,0,1424,1619
7707,Lu'an Zhilizhou,六安直隸州,Zhilizhou,212,116.49411774,31.754594803,9787,32,29,4,0,32,1649,1903
7918,Jishui,吉水,Xian,21,115.13224792,27.214366913,821,32,26,10,1,31,1622,1904
8052,Changyi,昌邑,Xian,21,119.39997864,36.855667114,1041,32,23,9,0,32,1658,1898
7952,Zouping,鄒平,Xian,21,117.72651672,36.885692596,1031,32,22,10,0,32,1622,1840
7872,Anyi,安義,Xian,21,115.54990387,28.842563629,796,32,20,13,0,32,1718,1871
8785,Changshou,長壽,Xian,21,107.0611496,29.833637238,1279,32,19,15,0,32,1727,1904
701910,Mianyang Zhou,沔陽州,Zhou,215,113.229,30.2037,45992,32,4,29,0,32,1681,1891
700017,Yi Zhou,沂州,Zhou,215,118.39524078,35.197975159,86016,32,3,29,1,31,1628,1628
7737,Chuzhou Zhilizhou Zhixiadifang,滁州直隸州直轄地方,Zhixiadifang,213,118.30416107,32.316993713,9786,32,2,30,1,31,1643,1643
7419,Lu'an Fu,潞安府,Fu,62,113.10348511,36.18353653,9693,32,0,32,0,32,,
5388,Jinyun,縉雲,Xian,21,120.058441,28.648392,40597,31,31,15,31,0,1385,1634
4897,Dongping Zhou,東平州,Zhou,215,116.29917145,35.910339355,85704,31,30,18,31,0,1391,1640
7431,Gaoping,高平,Xian,21,112.91958618,35.792057037,1157,31,26,5,0,31,1621,1824
7526,Chongming,崇明,Xian,21,121.38989258,31.627645493,40390,31,24,8,0,31,1647,1892
7233,Ba Zhou,霸州,Zhou,215,116.39524841,39.101535797,1,31,23,11,0,31,1646,1874
8446,Denghai,澄海,Xian,21,116.76804352,23.463153839,1785,31,22,11,0,31,1658,1838
8150,Meng Xian,孟縣,Xian,21,112.78279877,34.903179169,554,31,20,12,0,31,1628,1894
5524,Jingling,景陵,Xian,21,113.164116,30.65625,43600,31,20,19,29,2,1404,1658
8017,Shan Xian,單縣,Xian,21,116.07925415,34.797901154,1072,31,18,13,0,31,1646,1844
7812,Yongding,永定,Xian,21,116.72075653,24.720376968,40296,31,18,13,0,31,1661,1894
7761,Chizhou Fu,池州府,Fu,62,117.48183441,30.654661179,9779,31,0,31,0,31,,
4536,Luan Zhou,灤州,Zhou,215,118.75231171,39.739654541,15984,30,30,18,30,0,1454,1637
5374,Yiwu,義烏,Xian,21,120.071625,29.300087,40720,30,30,15,30,0,1385,1641
