control_unit_id,province,control_city,control_city_chn,gadm_gid,raw_cities,case_count,case_ids,platforms,capital_or_subprovincial_city,preferred_control_year,fallback_control_year,gdp_value,gdp_unit,gdp_year,gdp_source,gdp_status,population_value,population_unit,population_year,population_source,population_status,gdp_per_capita_value,gdp_per_capita_year,gdp_per_capita_source,gdp_per_capita_status,general_public_budget_revenue,general_public_budget_revenue_unit,general_public_budget_revenue_year,general_public_budget_revenue_source,general_public_budget_revenue_status,general_public_budget_expenditure,general_public_budget_expenditure_unit,general_public_budget_expenditure_year,general_public_budget_expenditure_source,general_public_budget_expenditure_status,fiscal_self_sufficiency_value,fiscal_self_sufficiency_year,fiscal_self_sufficiency_source,fiscal_self_sufficiency_status,local_government_debt_balance,local_government_debt_balance_unit,local_government_debt_balance_year,local_government_debt_balance_source,local_government_debt_balance_status,debt_pressure_value,debt_pressure_definition,debt_pressure_year,debt_pressure_source,debt_pressure_status,government_fund_revenue,government_fund_revenue_unit,government_fund_revenue_year,government_fund_revenue_source,government_fund_revenue_status,land_conveyance_revenue,land_conveyance_revenue_unit,land_conveyance_revenue_year,land_conveyance_revenue_source,land_conveyance_revenue_status,land_finance_dependence_value,land_finance_dependence_definition,land_finance_dependence_year,land_finance_dependence_source,land_finance_dependence_status,statistical_yearbook_query,budget_final_account_query,debt_query,land_finance_query,notes
hebei_xingtai,Hebei,Xingtai,邢台市,CHN.10.10_1,Xingtai,1,sch_20260630_0005,河北顺德投资集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,邢台市 2024 国民经济和社会发展统计公报 GDP 常住人口,邢台市 2024 财政决算 一般公共预算收入 一般公共预算支出,邢台市 2024 地方政府债务余额 决算,邢台市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
heilongjiang_harbin,Heilongjiang,Harbin,哈尔滨市,CHN.11.3_1,Harbin,1,expand_hlj_harbin_chengtou,哈尔滨市城市建设投资集团有限公司,1,2024,2023,6016.3,100m_yuan,2024,https://www.harbin.gov.cn/haerbin/c104569/202506/1063449/files/2024%E5%B9%B4%E5%93%88%E5%B0%94%E6%BB%A8%E5%B8%82%E5%9B%BD%E6%B0%91%E7%BB%8F%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,source_backed_official_statistical_communique,933.0,10k_persons,2024,https://www.harbin.gov.cn/haerbin/c104569/202506/1063449/files/2024%E5%B9%B4%E5%93%88%E5%B0%94%E6%BB%A8%E5%B8%82%E5%9B%BD%E6%B0%91%E7%BB%8F%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,source_backed_official_statistical_communique_registered_population,64483,2024,https://www.harbin.gov.cn/haerbin/c104569/202506/1063449/files/2024%E5%B9%B4%E5%93%88%E5%B0%94%E6%BB%A8%E5%B8%82%E5%9B%BD%E6%B0%91%E7%BB%8F%E5%92%8C%E7%A4%BE%E4%BC%9A%E5%8F%91%E5%B1%95%E7%BB%9F%E8%AE%A1%E5%85%AC%E6%8A%A5.pdf,calculated_from_2024_gdp_and_registered_population_proxy,337.8,100m_yuan,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_budget_report,1257.6,100m_yuan,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_budget_report,0.268607,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,calculated_from_source_backed_budget_revenue_and_expenditure,3486.3,100m_yuan,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_debt_report,10.320604,local_government_debt_balance / general_public_budget_revenue,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_debt_report,60.8,100m_yuan,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_budget_report,,,,,to_collect,0.179988,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.harbin.gov.cn/haerbin/c104524/202503/c01_1048804.shtml,source_backed_official_budget_report,哈尔滨市 2024 国民经济和社会发展统计公报 GDP 常住人口,哈尔滨市 2024 财政决算 一般公共预算收入 一般公共预算支出,哈尔滨市 2024 地方政府债务余额 决算,哈尔滨市 2024 政府性基金收入 国有土地使用权出让收入 决算,Harbin official statistical communique reports 2024 GDP and registered population. GDP per capita is calculated from registered population because the retrieved communique field is hukou rather than resident population. The official municipal budget report gives full-city general-budget revenue general-budget expenditure government-fund revenue and legal debt balance. The row brings the Harbin city-construction nominal-exit case into the first-pass full-controls sample and adds a northeastern provincial-capital comparison with very high statutory debt pressure.
henan_luoyang,Henan,Luoyang,洛阳市,CHN.12.7_1,Luoyang,1,expand_hen_luoyang_chengxiang,洛阳城乡建设投资集团有限公司,0,2024,2023,5818.6,100m_yuan,2024,https://www.ly.gov.cn/2025/04-30/565379.html,source_backed_official_statistical_communique,708.1,10k_persons,2024,https://www.ly.gov.cn/2025/04-30/565379.html,source_backed_official_statistical_communique,82172,2024,https://www.ly.gov.cn/2025/04-30/565379.html,calculated_from_source_backed_gdp_and_population,406.9,100m_yuan,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,701.8,100m_yuan,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,0.579795,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,1549.4,100m_yuan,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,3.807815,local_government_debt_balance / general_public_budget_revenue,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,269.7,100m_yuan,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,,,,,to_collect,0.662816,government_fund_revenue / general_public_budget_revenue proxy,2024,https://oss.ly.gov.cn/upload-file/files/20250312/abf998d372d7492b98d4a795eabea0f1.pdf,source_backed_official_budget_report,洛阳市 2024 国民经济和社会发展统计公报 GDP 常住人口,洛阳市 2024 财政决算 一般公共预算收入 一般公共预算支出,洛阳市 2024 地方政府债务余额 决算,洛阳市 2024 政府性基金收入 国有土地使用权出让收入 决算,Luoyang official statistical communique reports 2024 GDP and resident population. The official municipal budget report gives full-city general-budget revenue general-budget expenditure government-fund revenue and year-end government debt balance. GDP per capita fiscal self-sufficiency debt pressure and land-finance dependence are calculated from these source-backed fields. The row brings the Luoyang urban-rural construction nominal-exit case into the first-pass full-controls sample and adds a Henan interior prefecture comparison.
henan_xuchang,Henan,Xuchang,许昌市,CHN.12.15_1,Xuchang,1,exp2_20260703_0001,许昌市城投发展集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,许昌市 2024 国民经济和社会发展统计公报 GDP 常住人口,许昌市 2024 财政决算 一般公共预算收入 一般公共预算支出,许昌市 2024 地方政府债务余额 决算,许昌市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
henan_zhengzhou,Henan,Zhengzhou,郑州市,CHN.12.16_1,Zhengzhou,1,sch_20260630_0014,河南航空港投资集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,郑州市 2024 国民经济和社会发展统计公报 GDP 常住人口,郑州市 2024 财政决算 一般公共预算收入 一般公共预算支出,郑州市 2024 地方政府债务余额 决算,郑州市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
hubei_huangshi,Hubei,Huangshi,黄石市,CHN.13.4_1,Huangshi,2,expand_hb_huangshi_chengfa; sch_20260630_0054,黄石市东楚投资集团有限公司; 黄石市城市发展投资集团有限公司,0,2024,2023,2305.81,100m_yuan,2024,https://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/sztjgb/202504/P020250422587041236141.pdf,source_backed_official_statistical_communique,243.53,10k_persons,2024,https://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/sztjgb/202504/P020250422587041236141.pdf,source_backed_official_statistical_communique,94683,2024,https://tjj.hubei.gov.cn/tjsj/tjgb/ndtjgb/sztjgb/202504/P020250422587041236141.pdf,source_backed_official_statistical_communique,190.03,100m_yuan,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report,334.06,100m_yuan,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report,0.568850,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report,658,100m_yuan,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report,3.462611,local_government_debt_balance / general_public_budget_revenue,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report,46.1439,100m_yuan,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report_city_direct_proxy,,,,,to_collect,0.242824,city_direct_government_fund_revenue / general_public_budget_revenue proxy,2024,https://czj.huangshi.gov.cn/2020xxgkzn/2020gknr/2020czzj/sbjyjs/202502/t20250225_1197211.html,source_backed_official_budget_report_city_direct_proxy,黄石市 2024 国民经济和社会发展统计公报 GDP 常住人口,黄石市 2024 财政决算 一般公共预算收入 一般公共预算支出,黄石市 2024 地方政府债务余额 决算,黄石市 2024 政府性基金收入 国有土地使用权出让收入 决算,Official statistical communique and finance-bureau budget report. General-budget and debt values are citywide. Government-fund revenue is city-direct only and retained as transparent first-pass land-finance proxy; replace with full-city fund revenue before journal submission if available.
hubei_jingmen,Hubei,Jingmen,荆门市,CHN.13.5_1,Jingmen,1,expand_hb_jingmen_chengtou,荆门市城市建设投资有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,荆门市 2024 国民经济和社会发展统计公报 GDP 常住人口,荆门市 2024 财政决算 一般公共预算收入 一般公共预算支出,荆门市 2024 地方政府债务余额 决算,荆门市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
hubei_xiaogan,Hubei,Xiaogan,孝感市,CHN.13.16_1,Xiaogan,1,expand_hb_xiaogan_chengtou,孝感市城市建设投资公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,孝感市 2024 国民经济和社会发展统计公报 GDP 常住人口,孝感市 2024 财政决算 一般公共预算收入 一般公共预算支出,孝感市 2024 地方政府债务余额 决算,孝感市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
hunan_hengyang,Hunan,Hengyang,衡阳市,CHN.14.4_1,Hengyang,1,pilot_hn_004,衡阳市城市建设投资有限公司,0,2024,2023,4491.69,100m_yuan,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,643.43,10k_persons,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,69470,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,196.25,100m_yuan,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,636.27,100m_yuan,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,0.308438,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,calculated_from_source_backed_budget_revenue_and_expenditure,1572.96,100m_yuan,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,8.015083,local_government_debt_balance / general_public_budget_revenue,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,193.26,100m_yuan,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,,,,,to_collect,0.984764,government_fund_revenue / general_public_budget_revenue proxy,2024,https://qxb-pdf-osscache.qixin.com/AnBaseinfo/b208bf41a745acaa50913615bdccdeee.pdf,source_backed_rating_report_compilation,衡阳市 2024 国民经济和社会发展统计公报 GDP 常住人口,衡阳市 2024 财政决算 一般公共预算收入 一般公共预算支出,衡阳市 2024 地方政府债务余额 决算,衡阳市 2024 政府性基金收入 国有土地使用权出让收入 决算,Lianhe Ratings reports Hengyang 2024 GDP resident population per-capita GDP general-budget revenue general-budget expenditure government-fund revenue and local-government debt balance from public materials. The row brings the Hengyang city-construction nominal-exit case into the first-pass full-controls sample and adds a Hunan high-debt comparison with weak fiscal self-sufficiency and substantial government-fund dependence.
hunan_yiyang,Hunan,Yiyang,益阳市,CHN.14.10_1,Yiyang,1,expand_hn_yiyang_jiaotou,益阳市交通投资运营集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,益阳市 2024 国民经济和社会发展统计公报 GDP 常住人口,益阳市 2024 财政决算 一般公共预算收入 一般公共预算支出,益阳市 2024 地方政府债务余额 决算,益阳市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
hunan_zhuzhou,Hunan,Zhuzhou,株洲市,CHN.14.14_1,Zhuzhou,1,pilot_hn_002,株洲市国有资产投资控股集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,株洲市 2024 国民经济和社会发展统计公报 GDP 常住人口,株洲市 2024 财政决算 一般公共预算收入 一般公共预算支出,株洲市 2024 地方政府债务余额 决算,株洲市 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
jiangsu_changzhou,Jiangsu,Changzhou,常州市,CHN.15.1_1,Changzhou,3,sch_20260630_0048; sch_20260630_0057; sch_20260630_0069,常州天宁建设发展集团有限公司; 常州市交通产业集团有限公司; 常州滨湖建设发展集团有限公司,0,2024,2023,10813.6,100m_yuan,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,,,,,to_collect,201000,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,697.80,100m_yuan,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,890.07,100m_yuan,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,0.783983,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,2443.69,100m_yuan,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,3.501992,local_government_debt_balance / general_public_budget_revenue,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,976.17,100m_yuan,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,,,,,to_collect,1.398925,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.lhratings.com/file/g123fa3419d.pdf,source_backed_secondary_compilation,常州市 2024 国民经济和社会发展统计公报 GDP 常住人口,常州市 2024 财政决算 一般公共预算收入 一般公共预算支出,常州市 2024 地方政府债务余额 决算,常州市 2024 政府性基金收入 国有土地使用权出让收入 决算,First-pass public-data compilation from Lianhe Ratings; replace with official statistical communique and fiscal final accounts before journal submission where possible.
jiangsu_danyang,Jiangsu,Danyang,,,Danyang,1,sch_20260630_0044,丹阳投资集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,Danyang 2024 国民经济和社会发展统计公报 GDP 常住人口,Danyang 2024 财政决算 一般公共预算收入 一般公共预算支出,Danyang 2024 地方政府债务余额 决算,Danyang 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
jiangsu_huaian,Jiangsu,Huai'an,淮安市,CHN.15.2_1,Huai'an,1,expand_js_huaian_touzi,淮安市投资控股集团有限公司,0,2024,2023,5413.02,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,453.07,10k_persons,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,calculated_from_source_backed_gdp_and_per_capita_gdp,119473,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,325.54,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,742.56,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,calculated_from_source_backed_rating_report_fiscal_self_sufficiency,0.438400,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,1031.29,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,3.167936,local_government_debt_balance / general_public_budget_revenue,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,370.71,100m_yuan,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,,,,,to_collect,1.138754,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.dfratings.com/uploads/files/2025/1217/GWsE9VJDW2mCGjqb9daojy40wDNupRMTu6EHXrrZ.pdf,source_backed_rating_report_compilation,淮安市 2024 国民经济和社会发展统计公报 GDP 常住人口,淮安市 2024 财政决算 一般公共预算收入 一般公共预算支出,淮安市 2024 地方政府债务余额 决算,淮安市 2024 政府性基金收入 国有土地使用权出让收入 决算,Dongfang Jincheng reports Huai'an 2024 GDP per-capita GDP general-budget revenue government-fund revenue fiscal self-sufficiency and local-government debt balance from public materials and fiscal final accounts. Resident population is calculated from GDP and per-capita GDP; general-budget expenditure is calculated from fiscal self-sufficiency. The row brings the Huai'an investment-holding nominal-exit case into the first-pass full-controls sample and adds a northern Jiangsu comparison.
jiangsu_jiangyin,Jiangsu,Jiangyin,,,Jiangyin,1,sch_20260630_0029,江阴高新区投资开发有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,Jiangyin 2024 国民经济和社会发展统计公报 GDP 常住人口,Jiangyin 2024 财政决算 一般公共预算收入 一般公共预算支出,Jiangyin 2024 地方政府债务余额 决算,Jiangyin 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
jiangsu_liyang,Jiangsu,Liyang,,,Liyang,1,sch_20260630_0047,溧阳市城市建设发展集团有限公司,0,2024,2023,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,,,,to_collect,,,,to_collect,,,,,to_collect,,local_government_debt_balance / general_public_budget_revenue,,,to_collect,,,,,to_collect,,,,,to_collect,,land_conveyance_revenue / general_public_budget_revenue,,,to_collect,Liyang 2024 国民经济和社会发展统计公报 GDP 常住人口,Liyang 2024 财政决算 一般公共预算收入 一般公共预算支出,Liyang 2024 地方政府债务余额 决算,Liyang 2024 政府性基金收入 国有土地使用权出让收入 决算,"Collect from official city statistical communique, final accounts, and debt disclosure where possible."
jiangsu_nanjing,Jiangsu,Nanjing,南京市,CHN.15.4_1,Gaochun; Nanjing; Nanjing Jiangning,5,exp2_20260703_0009; expand_js_jiangning_guozi; pilot_js_001_alt_metro; sch_20260630_0052; sch_20260630_0142,南京地铁集团有限公司; 南京市交通建设投资控股(集团)有限责任公司; 南京江北新城投资发展有限公司; 南京江宁国有资产经营集团有限公司; 江苏高淳国际慢城文化旅游产业投资集团有限公司,1,2024,2023,18500.81,100m_yuan,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,957.70,10k_persons,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,193500,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,1596.02,100m_yuan,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,1705.26,100m_yuan,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,0.935939,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,3661.56,100m_yuan,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,2.294182,local_government_debt_balance / general_public_budget_revenue,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,937.59,100m_yuan,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,,,,,to_collect,0.587455,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.lhratings.com/file/g0a76d7ed51.pdf,source_backed_secondary_compilation,南京市 2024 国民经济和社会发展统计公报 GDP 常住人口,南京市 2024 财政决算 一般公共预算收入 一般公共预算支出,南京市 2024 地方政府债务余额 决算,南京市 2024 政府性基金收入 国有土地使用权出让收入 决算,First-pass public-data compilation from Lianhe Ratings; replace with official statistical communique and fiscal final accounts before journal submission where possible.
jiangsu_nantong,Jiangsu,Nantong,南通市,CHN.15.5_1,Haian; Nantong,3,sch_20260630_0019; sch_20260630_0073; sch_20260630_0137,如东县东泰社会发展投资有限责任公司; 江苏腾海投资控股集团有限公司; 海安开发区建设投资有限公司,0,2024,2023,12421.90,100m_yuan,2024,https://www.lhratings.com/file/g0fa6dcf4bf.pdf,source_backed_secondary_compilation,775.0,10k_persons,2024,https://www.lhratings.com/file/g0fa6dcf4bf.pdf,source_backed_secondary_compilation,160000,2024,https://www.lhratings.com/file/g0fa6dcf4bf.pdf,source_backed_secondary_compilation,700.8972,100m_yuan,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,1179.0517,100m_yuan,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,0.594458,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,2616.08,100m_yuan,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,3.732473,local_government_debt_balance / general_public_budget_revenue,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,834.5360,100m_yuan,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,,,,,to_collect,1.190668,government_fund_revenue / general_public_budget_revenue proxy,2024,https://www.nantong.gov.cn/truecms/attachmentController/download.do?id=7880f686-e111-4675-9d13-b268609b09de,source_backed_official_budget_table,南通市 2024 国民经济和社会发展统计公报 GDP 常住人口,南通市 2024 财政决算 一般公共预算收入 一般公共预算支出,南通市 2024 地方政府债务余额 决算,南通市 2024 政府性基金收入 国有土地使用权出让收入 决算,GDP from Jiangsu public-data compilation; fiscal debt and fund values from official municipal budget tables.
