candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
exp4_20260703_0009,2026-07-03,Shanghai Clearing House,发展集团,mtn,2026-07-01,泉州交通发展集团有限责任公司,泉州交通发展集团有限责任公司2026年度第三期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202607/t20260701_1817904.html,1,0,,,low,0,0,pending,,,1,
exp4_20260703_0013,2026-07-03,Shanghai Clearing House,资产经营;国有资产经营,mtn,2026-06-26,伊犁哈萨克自治州财通国有资产经营有限责任公司,伊犁哈萨克自治州财通国有资产经营有限责任公司2026年度第一期中期票据发行文件,issuance_packet,mtn,https://www.shclearing.com.cn/xxpl/fxpl/mtn/202606/t20260626_1815015.html,1,0,,,low,0,0,pending,,,1,
exp4_20260703_0027,2026-07-03,Shanghai Clearing House,资产经营;国有资产经营,cp,2026-06-22,天津市武清区国有资产经营投资有限公司,天津市武清区国有资产经营投资有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260622_1811570.html,1,0,,,low,0,0,pending,,,1,
exp4_20260703_0049,2026-07-03,Shanghai Clearing House,国控,scp,2026-06-25,广西国控资本运营集团有限责任公司,广西国控资本运营集团有限责任公司2026年度第三期超短期融资券发行材料,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260625_1814161.html,1,0,,,low,0,0,pending,,,1,
exp4_20260703_0051,2026-07-03,Shanghai Clearing House,国控,scp,2026-06-23,广西国控资本运营集团有限责任公司,广西国控资本运营集团有限责任公司2026年度第二期超短期融资券发行文件,issuance_packet,scp,https://www.shclearing.com.cn/xxpl/fxpl/scp/202606/t20260623_1812496.html,1,0,,,low,0,0,pending,,,1,
