GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,area_sqkm_approx,matched_cbdb_places,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm
CHN.18.3_1,Liaoning,遼寧|辽宁,Chaoyang,朝阳市,PrefectureCity,19671.504,5,198,31,170,2,196,10.065321,1.575884,8.641942
CHN.6.1_1,Guangdong,廣東|广东,Chaozhou,潮州市,PrefectureCity,3214.128,7,197,96,144,74,123,61.291896,29.868132,44.802198
CHN.1.8_1,Anhui,安徽|安徽,Hefei,合肥市,PrefectureCity,7486.590,3,195,120,104,54,141,26.046571,16.028659,13.891505
CHN.16.4_1,Jiangxi,江西,Jingdezhen,景德镇市,PrefectureCity,5265.861,4,192,158,96,124,68,36.461274,30.004590,18.230637
CHN.22.2_1,Shaanxi,陝西|陕西,Baoji,宝鸡市,PrefectureCity,18144.046,18,192,108,131,79,113,10.581984,5.952366,7.219999
CHN.4.7_1,Fujian,福建,Sanming,三明市,PrefectureCity,23007.342,19,190,105,113,51,139,8.258233,4.563761,4.911476
CHN.14.7_1,Hunan,湖南,Shaoyang,邵阳市|邵陽市,PrefectureCity,23092.658,13,188,82,134,46,142,8.141116,3.550912,5.802710
CHN.14.8_1,Hunan,湖南,Xiangtan,湘潭市|湘潭市,PrefectureCity,5066.210,4,188,122,85,27,161,37.108608,24.081118,16.777828
CHN.10.7_1,Hebei,河北,Qinhuangdao,秦皇岛市,PrefectureCity,7776.253,12,187,103,114,41,146,24.047571,13.245454,14.660017
CHN.6.7_1,Guangdong,廣東|广东,Jiangmen,江门市,PrefectureCity,9447.076,7,184,110,96,43,141,19.476926,11.643814,10.161874
CHN.5.2_1,Gansu,甘肅|甘肃,Dingxi,定西市,PrefectureCity,19699.595,15,179,83,123,34,145,9.086481,4.213285,6.243783
CHN.7.5_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guigang,贵港市,PrefectureCity,10654.923,7,176,42,139,6,170,16.518186,3.941840,13.045613
CHN.6.2_1,Guangdong,廣東|广东,Dongguan,东莞市,PrefectureCity,2425.335,2,174,126,96,82,92,71.742666,51.951586,39.582161
CHN.18.12_1,Liaoning,遼寧|辽宁,Shenyang,沈阳市,PrefectureCity,12883.016,5,173,70,104,2,171,13.428533,5.433510,8.072644
CHN.1.5_1,Anhui,安徽|安徽,Chizhou,池州市,PrefectureCity,8480.823,13,172,99,118,86,86,20.281051,11.673395,13.913744
CHN.5.7_1,Gansu,甘肅|甘肃,Lanzhou,兰州市,PrefectureCity,13265.927,7,172,74,106,6,166,12.965547,5.578200,7.990395
CHN.8.5_1,Guizhou,貴州|贵州,QiandongnanMiaoandDong,黔东南苗族侗族自治州,AutonomousPrefecture,30357.793,18,171,68,110,5,166,5.632821,2.239952,3.623452
CHN.26.21_1,Sichuan,四川,Zigong,自贡市,PrefectureCity,4378.597,4,169,145,93,126,43,38.596838,33.115630,21.239680
CHN.26.15_1,Sichuan,四川,Neijiang,内江市,PrefectureCity,2862.620,4,168,139,114,129,39,58.687496,48.556916,39.823658
CHN.8.8_1,Guizhou,貴州|贵州,Tongren,铜仁地区,Prefecture,17960.940,14,161,53,112,6,155,8.963896,2.950848,6.235754
CHN.10.11_1,Hebei,河北,Zhangjiakou,张家口市,PrefectureCity,36626.738,13,161,69,100,13,148,4.395696,1.883870,2.730246
CHN.14.3_1,Hunan,湖南,Chenzhou,郴州市|郴州市,PrefectureCity,19435.541,20,161,97,105,63,98,8.283793,4.990857,5.402474
CHN.1.12_1,Anhui,安徽|安徽,Lu'an,六安市,PrefectureCity,18410.074,13,159,119,65,53,106,8.636576,6.463852,3.530676
CHN.5.10_1,Gansu,甘肅|甘肃,Pingliang,平凉市,PrefectureCity,11068.044,13,159,108,66,17,142,14.365682,9.757822,5.963113
CHN.7.13_1,Guangxi,廣西壯族自治區|广西壮族自治区,Wuzhou,梧州市,PrefectureCity,12556.125,8,159,53,116,15,144,12.663142,4.221047,9.238519
CHN.12.11_1,Henan,河南,Sanmenxia,三门峡市,PrefectureCity,9927.303,13,152,92,90,52,100,15.311309,9.267371,9.065906
CHN.31.5_1,Zhejiang,浙江,Lishui,丽水市,PrefectureCity,17218.758,20,148,138,68,122,26,8.595277,8.014515,3.949181
CHN.5.12_1,Gansu,甘肅|甘肃,Tianshui,天水市,PrefectureCity,14226.599,12,147,71,81,11,136,10.332758,4.990652,5.693560
CHN.26.11_1,Sichuan,四川,Meishan,眉山市,PrefectureCity,8102.161,15,147,106,88,72,75,18.143308,13.082929,10.861300
CHN.12.9_1,Henan,河南,Pingdingshan,平顶山市,PrefectureCity,7886.647,13,144,76,95,41,103,18.258710,9.636541,12.045677
