GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,area_sqkm_approx,matched_cbdb_places,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm
CHN.23.16_1,Shandong,山東|山东,Zaozhuang,枣庄市,PrefectureCity,6181.350,6,72,57,32,29,43,11.647941,9.221287,5.176863
CHN.7.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hechi,河池市,PrefectureCity,33473.491,7,71,18,59,14,57,2.121081,0.537739,1.762589
CHN.11.6_1,Heilongjiang,黑龙江省|黑龍江省,Jiamusi,佳木斯市,PrefectureCity,31900.219,1,71,6,66,0,71,2.225690,0.188086,2.068951
CHN.23.14_1,Shandong,山東|山东,Weihai,威海市,PrefectureCity,5584.833,4,71,60,23,15,56,12.713003,10.743383,4.118297
CHN.13.15_1,Hubei,湖北,Xiantao,仙桃市,PrefectureCity,2527.624,5,69,39,50,30,39,27.298364,15.429510,19.781423
CHN.1.14_1,Anhui,安徽|安徽,Suzhou,宿州市,PrefectureCity,9997.303,12,68,43,43,24,44,6.801834,4.301160,4.301160
CHN.7.1_1,Guangxi,廣西壯族自治區|广西壮族自治区,Baise,百色市,PrefectureCity,36379.274,7,68,5,63,0,68,1.869196,0.137441,1.731755
CHN.13.17_1,Hubei,湖北,Yichang,宜昌市,PrefectureCity,21301.245,15,68,37,40,26,42,3.192302,1.736988,1.877825
CHN.15.5_1,Jiangsu,江蘇|江苏,Nantong,南通市,PrefectureCity,8909.672,7,67,55,28,28,39,7.519918,6.173067,3.142652
CHN.26.6_1,Sichuan,四川,Guang'an,广安市,PrefectureCity,6356.125,7,65,48,32,32,33,10.226356,7.551771,5.034514
CHN.30.8_1,Yunnan,雲南|云南,Lijiang,丽江市,PrefectureCity,20575.125,4,64,9,55,1,63,3.110552,0.437421,2.673131
CHN.15.10_1,Jiangsu,江蘇|江苏,Xuzhou,徐州市,PrefectureCity,11229.972,13,62,37,41,23,39,5.520940,3.294754,3.650944
CHN.6.18_1,Guangdong,廣東|广东,Zhanjiang,湛江市,PrefectureCity,12605.675,8,60,30,35,16,44,4.759761,2.379880,2.776527
CHN.6.14_1,Guangdong,廣東|广东,Shaoguan,韶关市,PrefectureCity,18430.399,14,58,30,33,18,40,3.146975,1.627746,1.790520
CHN.13.7_1,Hubei,湖北,Qianjiang,潜江市,PrefectureCity,2025.513,2,57,43,26,26,31,28.141019,21.229190,12.836254
CHN.9.2_1,Hainan,海南,Hainan,海南,Prefecture,29973.945,13,55,38,26,14,41,1.834927,1.267768,0.867420
CHN.12.6_1,Henan,河南,Luohe,漯河市,PrefectureCity,2646.729,7,53,47,23,27,26,20.024717,17.757768,8.689972
CHN.26.18_1,Sichuan,四川,Suining,遂宁市,PrefectureCity,5333.870,5,53,33,35,22,31,9.936500,6.186877,6.561840
CHN.22.4_1,Shaanxi,陝西|陕西,Shangluo,商洛市,PrefectureCity,19618.967,9,49,31,20,11,38,2.497583,1.580104,1.019422
CHN.1.2_1,Anhui,安徽|安徽,Bengbu,蚌埠市,PrefectureCity,5904.204,4,48,35,22,19,29,8.129800,5.927979,3.726159
CHN.13.10_1,Hubei,湖北,SuizhouShi,随州市,PrefectureCity,9609.088,5,48,41,15,19,29,4.995271,4.266794,1.561022
CHN.14.6_1,Hunan,湖南,Loudi,娄底市|婁底市,PrefectureCity,8133.975,2,47,23,27,5,42,5.778233,2.827646,3.319410
CHN.15.6_1,Jiangsu,江蘇|江苏,Suqian,宿迁市,PrefectureCity,8575.456,6,45,32,25,22,23,5.247534,3.731580,2.915297
CHN.8.7_1,Guizhou,貴州|贵州,QianxinanBuyeiandMiao,黔西南布依族苗族自治州,AutonomousPrefecture,16829.722,4,44,11,33,0,44,2.614422,0.653606,1.960817
CHN.6.5_1,Guangdong,廣東|广东,Heyuan,河源市,PrefectureCity,15662.850,7,43,25,20,3,40,2.745350,1.596134,1.276907
CHN.18.13_1,Liaoning,遼寧|辽宁,Tieling,铁岭市,PrefectureCity,18096.912,5,43,33,11,2,41,2.376096,1.823516,0.607839
CHN.30.1_1,Yunnan,雲南|云南,Baoshan,保山市,PrefectureCity,19115.384,7,43,18,27,2,41,2.249497,0.941650,1.412475
CHN.5.9_1,Gansu,甘肅|甘肃,Longnan,陇南市,PrefectureCity,28464.318,10,42,23,23,3,39,1.475532,0.808029,0.808029
CHN.14.9_1,Hunan,湖南,XiangxiTujiaandMiao,湘西土家族苗族自治州|湘西土家族苗族自治州,AutonomousPrefecture,15518.480,6,40,8,37,6,34,2.577572,0.515514,2.384254
CHN.30.16_1,Yunnan,雲南|云南,Zhaotong,昭通市,PrefectureCity,22534.566,4,40,10,32,0,40,1.775051,0.443763,1.420041
CHN.13.9_1,Hubei,湖北,Shiyan,十堰市,PrefectureCity,23638.211,14,39,30,20,24,15,1.649871,1.269132,0.846088
CHN.23.7_1,Shandong,山東|山东,Laiwu,莱芜市,PrefectureCity,2098.461,2,38,33,7,11,27,18.108509,15.725810,3.335778
CHN.6.17_1,Guangdong,廣東|广东,Yunfu,云浮市,PrefectureCity,7807.964,5,36,17,19,8,28,4.610677,2.177264,2.433413
CHN.5.1_1,Gansu,甘肅|甘肃,Baiyin,白银市,PrefectureCity,20130.227,4,34,25,14,4,30,1.689002,1.241913,0.695472
CHN.15.11_1,Jiangsu,江蘇|江苏,Yancheng,盐城市,PrefectureCity,15378.447,3,34,28,10,9,25,2.210886,1.820730,0.650261
CHN.7.8_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hezhou,贺州市,PrefectureCity,11695.661,5,33,12,21,5,28,2.821559,1.026022,1.795538
CHN.15.3_1,Jiangsu,江蘇|江苏,Lianyungang,连云港市,PrefectureCity,7403.745,6,33,22,21,11,22,4.457204,2.971469,2.836402
CHN.6.11_1,Guangdong,廣東|广东,Qingyuan,清远市,PrefectureCity,18952.057,9,32,22,17,14,18,1.688471,1.160824,0.897000
CHN.21.8_1,Qinghai,青海,Xining,西宁市,PrefectureCity,7176.093,2,31,14,19,3,28,4.319899,1.950922,2.647680
CHN.6.16_1,Guangdong,廣東|广东,Yangjiang,阳江市,PrefectureCity,7846.864,3,30,18,14,2,28,3.823183,2.293910,1.784152
CHN.26.7_1,Sichuan,四川,Guangyuan,广元市,PrefectureCity,16226.427,10,30,24,19,18,12,1.848836,1.479069,1.170929
CHN.12.2_1,Henan,河南,Hebi,鹤壁市,PrefectureCity,2152.924,4,29,23,18,22,7,13.470053,10.683145,8.360722
CHN.28.7_1,XinjiangUygur,新疆維吾爾自治區|新疆维吾尔自治区,IliKazakh,伊犁哈萨克自治州,AutonomousPrefecture,56167.301,1,29,3,26,0,29,0.516315,0.053412,0.462903
CHN.18.5_1,Liaoning,遼寧|辽宁,Dandong,丹东市,PrefectureCity,14780.067,3,27,10,18,2,25,1.826785,0.676587,1.217856
CHN.7.9_1,Guangxi,廣西壯族自治區|广西壮族自治区,Laibin,来宾市,PrefectureCity,13183.112,5,25,13,13,1,24,1.896366,0.986110,0.986110
CHN.20.5_1,NingxiaHui,寧夏回族自治區|宁夏回族自治区,Zhongwei,中卫市,PrefectureCity,12433.653,3,25,23,3,0,25,2.010672,1.849818,0.241281
CHN.26.1_1,Sichuan,四川,Bazhong,巴中市,PrefectureCity,12312.665,6,25,18,9,5,20,2.030430,1.461909,0.730955
CHN.5.6_1,Gansu,甘肅|甘肃,Jiuquan,酒泉市,PrefectureCity,146922.437,3,24,1,23,0,24,0.163351,0.006806,0.156545
CHN.26.19_1,Sichuan,四川,Ya'an,雅安市,PrefectureCity,15050.200,6,24,9,17,4,20,1.594663,0.597999,1.129553
CHN.30.11_1,Yunnan,雲南|云南,Pu'er,普洱市,PrefectureCity,44212.379,4,24,3,21,0,24,0.542834,0.067854,0.474980
CHN.30.13_1,Yunnan,雲南|云南,WenshanZhuangandMiao,文山壮族苗族自治州,AutonomousPrefecture,31602.134,4,24,8,16,0,24,0.759442,0.253147,0.506295
CHN.18.8_1,Liaoning,遼寧|辽宁,Huludao,葫芦岛市,PrefectureCity,10290.232,4,21,16,10,5,16,2.040770,1.554873,0.971795
CHN.31.11_1,Zhejiang,浙江,Zhoushan,舟山市,PrefectureCity,1229.225,2,21,10,11,1,20,17.083935,8.135207,8.948728
CHN.1.3_1,Anhui,安徽|安徽,Bozhou,亳州市,PrefectureCity,8593.298,5,20,16,12,16,4,2.327395,1.861916,1.396437
CHN.7.2_1,Guangxi,廣西壯族自治區|广西壮族自治区,Beihai,北海市,PrefectureCity,3488.548,4,19,14,9,13,6,5.446392,4.013131,2.579870
CHN.1.15_1,Anhui,安徽|安徽,Tongling,铜陵市,PrefectureCity,1036.364,2,18,11,11,8,10,17.368415,10.614031,10.614031
CHN.5.5_1,Gansu,甘肅|甘肃,Jinchang,金昌市,PrefectureCity,7359.015,3,18,8,13,4,14,2.445980,1.087102,1.766541
CHN.5.14_1,Gansu,甘肅|甘肃,Zhangye,张掖市,PrefectureCity,39659.993,4,18,5,13,1,17,0.453858,0.126072,0.327786
CHN.10.3_1,Hebei,河北,Chengde,承德市,PrefectureCity,39428.467,6,18,13,8,2,16,0.456523,0.329711,0.202899
CHN.26.9_1,Sichuan,四川,LiangshanYi,凉山彝族自治州,AutonomousPrefecture,60070.852,5,17,4,13,0,17,0.282999,0.066588,0.216411
CHN.6.13_1,Guangdong,廣東|广东,Shanwei,汕尾市,PrefectureCity,4875.309,3,16,6,13,3,13,3.281843,1.230691,2.666498
CHN.18.10_1,Liaoning,遼寧|辽宁,Liaoyang,辽阳市,PrefectureCity,4663.922,3,16,14,5,2,14,3.430589,3.001765,1.072059
CHN.26.16_1,Sichuan,四川,NgawaTibetanandQiang,阿坝藏族羌族自治州,AutonomousPrefecture,83967.503,6,16,8,10,3,13,0.190550,0.095275,0.119094
CHN.7.3_1,Guangxi,廣西壯族自治區|广西壮族自治区,Chongzuo,崇左市,PrefectureCity,17448.473,7,15,11,6,1,14,0.859674,0.630428,0.343870
CHN.12.4_1,Henan,河南,Jiyuanshi,济源市,PrefectureCity,1892.332,2,15,4,11,3,12,7.926727,2.113794,5.812933
CHN.18.4_1,Liaoning,遼寧|辽宁,Dalian,大连市,PrefectureCity,12534.718,3,14,10,5,1,13,1.116898,0.797784,0.398892
CHN.30.9_1,Yunnan,雲南|云南,Lincang,临沧市,PrefectureCity,23599.902,3,14,1,13,0,14,0.593223,0.042373,0.550850
CHN.1.10_1,Anhui,安徽|安徽,Huainan,淮南市,PrefectureCity,2125.490,1,13,4,9,0,13,6.116237,1.881919,4.234318
CHN.13.1_1,Hubei,湖北,EnshiTujiaandMiao,恩施土家族苗族自治州,AutonomousPrefecture,24218.071,8,13,1,12,4,9,0.536789,0.041291,0.495498
CHN.20.3_1,NingxiaHui,寧夏回族自治區|宁夏回族自治区,Wuzhong,吴忠市,PrefectureCity,16523.440,1,13,10,3,0,13,0.786761,0.605201,0.181560
CHN.22.5_1,Shaanxi,陝西|陕西,Tongchuan,铜川市,PrefectureCity,2315.405,3,13,10,4,2,11,5.614569,4.318899,1.727560
CHN.17.1_1,Jilin,吉林,Baicheng,白城市,PrefectureCity,25557.279,1,11,7,4,0,11,0.430406,0.273895,0.156511
CHN.17.6_1,Jilin,吉林,Siping,四平市,PrefectureCity,14323.253,3,11,8,3,0,11,0.767982,0.558532,0.209450
CHN.19.12_1,NeiMongol,內蒙古自治區|内蒙古自治区,Xing'an,兴安盟,League,53387.129,1,10,8,2,0,10,0.187311,0.149849,0.037462
CHN.5.8_1,Gansu,甘肅|甘肃,LinxiaHui,临夏回族自治州,AutonomousPrefecture,8081.422,2,8,6,5,2,6,0.989925,0.742444,0.618703
CHN.7.12_1,Guangxi,廣西壯族自治區|广西壮族自治区,Qinzhou,钦州市,PrefectureCity,10761.619,3,8,4,5,1,7,0.743383,0.371691,0.464614
CHN.20.1_1,NingxiaHui,寧夏回族自治區|宁夏回族自治区,Guyuan,固原市,PrefectureCity,11288.995,5,7,6,2,3,4,0.620073,0.531491,0.177164
CHN.20.2_1,NingxiaHui,寧夏回族自治區|宁夏回族自治区,Shizuishan,石嘴山市,PrefectureCity,4398.781,1,7,5,2,0,7,1.591350,1.136679,0.454671
CHN.8.4_1,Guizhou,貴州|贵州,Liupanshui,六盘水市,PrefectureCity,9993.113,4,6,5,1,5,1,0.600414,0.500345,0.100069
CHN.18.2_1,Liaoning,遼寧|辽宁,Benxi,本溪市,PrefectureCity,8439.726,1,5,5,1,0,5,0.592436,0.592436,0.118487
CHN.18.1_1,Liaoning,遼寧|辽宁,Anshan,鞍山市,PrefectureCity,9220.072,1,4,2,2,0,4,0.433836,0.216918,0.216918
CHN.30.10_1,Yunnan,雲南|云南,NujiangLisu,怒江傈僳族自治州,AutonomousPrefecture,14550.754,1,4,4,1,4,0,0.274900,0.274900,0.068725
CHN.5.3_1,Gansu,甘肅|甘肃,GannanTibetan,甘南藏族自治州,AutonomousPrefecture,36588.906,1,3,2,2,0,3,0.081992,0.054661,0.054661
CHN.17.4_1,Jilin,吉林,Jilin,吉林市,PrefectureCity,27502.969,1,3,3,1,0,3,0.109079,0.109079,0.036360
CHN.28.6_1,XinjiangUygur,新疆維吾爾自治區|新疆维吾尔自治区,Hami,哈密地区,Prefecture,136203.751,1,3,0,3,0,3,0.022026,0.000000,0.022026
CHN.6.15_1,Guangdong,廣東|广东,Shenzhen,深圳市,PrefectureCity,1921.959,2,2,1,2,1,1,1.040605,0.520302,1.040605
CHN.9.3_1,Hainan,海南,Sanya,三亚市,PrefectureCity,1892.640,1,2,2,1,2,0,1.056725,1.056725,0.528362
CHN.14.13_1,Hunan,湖南,Zhangjiajie,张家界市|張家界市,PrefectureCity,9572.782,2,2,0,2,0,2,0.208926,0.000000,0.208926
CHN.17.5_1,Jilin,吉林,Liaoyuan,辽源市,PrefectureCity,5152.728,1,2,1,1,0,2,0.388144,0.194072,0.194072
CHN.19.5_1,NeiMongol,內蒙古自治區|内蒙古自治区,Hohhot,呼和浩特市,PrefectureCity,19462.007,2,2,2,0,2,0,0.102764,0.102764,0.000000
CHN.7.4_1,Guangxi,廣西壯族自治區|广西壮族自治区,Fangchenggang,防城港市,PrefectureCity,6029.401,1,1,0,1,0,1,0.165854,0.000000,0.165854
CHN.11.3_1,Heilongjiang,黑龙江省|黑龍江省,Harbin,哈尔滨市,PrefectureCity,53298.157,1,1,0,1,0,1,0.018762,0.000000,0.018762
CHN.11.12_1,Heilongjiang,黑龙江省|黑龍江省,Suihua,绥化市,PrefectureCity,35316.393,1,1,0,1,0,1,0.028315,0.000000,0.028315
CHN.17.7_1,Jilin,吉林,Songyuan,松原市,PrefectureCity,21121.144,1,1,1,0,0,1,0.047346,0.047346,0.000000
CHN.19.4_1,NeiMongol,內蒙古自治區|内蒙古自治区,Chifeng,赤峰市,PrefectureCity,85103.965,1,1,0,1,0,1,0.011750,0.000000,0.011750
CHN.19.8_1,NeiMongol,內蒙古自治區|内蒙古自治区,Tongliao,通辽市,PrefectureCity,59144.551,1,1,1,0,1,0,0.016908,0.016908,0.000000
CHN.19.9_1,NeiMongol,內蒙古自治區|内蒙古自治区,UlaanChab,乌兰察布市,PrefectureCity,54649.292,1,1,0,1,0,1,0.018298,0.000000,0.018298
CHN.28.9_1,XinjiangUygur,新疆維吾爾自治區|新疆维吾尔自治区,Kashgar,喀什地区,Prefecture,109494.425,1,1,0,1,0,1,0.009133,0.000000,0.009133
CHN.28.15_1,XinjiangUygur,新疆維吾爾自治區|新疆维吾尔自治区,Ürümqi,乌鲁木齐市,PrefectureCity,10218.519,1,1,0,1,0,1,0.097862,0.000000,0.097862
