candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
sch_20260630_0132,2026-06-30,Shanghai Clearing House,城投,cp,2026-06-03,日照城投集团有限公司,日照城投集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202606/t20260603_1799658.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0133,2026-06-30,Shanghai Clearing House,交通;投资集团,cp,2026-05-27,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第五期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260527_1795493.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0134,2026-06-30,Shanghai Clearing House,开发区,cp,2026-05-27,天津北辰经济技术开发区集团有限公司,天津北辰经济技术开发区集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260527_1795499.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0135,2026-06-30,Shanghai Clearing House,发展,cp,2026-05-26,深圳市东阳光实业发展有限公司,深圳市东阳光实业发展有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260526_1794997.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0136,2026-06-30,Shanghai Clearing House,建设;城市,cp,2026-05-25,上饶市城市建设投资开发集团有限公司,上饶市城市建设投资开发集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260525_1794106.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0137,2026-06-30,Shanghai Clearing House,开发区;建设,cp,2026-05-21,海安开发区建设投资有限公司,海安开发区建设投资有限公司2026年度第三期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260521_1792073.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0138,2026-06-30,Shanghai Clearing House,城市;发展;投资集团,cp,2026-05-21,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第五期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260521_1792049.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0139,2026-06-30,Shanghai Clearing House,城发;发展;投资集团,cp,2026-05-21,太原市龙城发展投资集团有限公司,太原市龙城发展投资集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260521_1792061.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0140,2026-06-30,Shanghai Clearing House,城市;发展;投资集团,cp,2026-05-19,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第四期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260519_1790545.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0141,2026-06-30,Shanghai Clearing House,开发区;建设,cp,2026-05-18,海安开发区建设投资有限公司,海安开发区建设投资有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202605/t20260518_1789822.html,1,0,,,low,0,0,pending,,,1,
