c_addr_id,addr_name,addr_name_chn,CHGIS_PT_ID,x_coord,y_coord,GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons
4882,Teng Xian,滕縣,45206,117.157007,35.085022,CHN.23.16_1,Shandong,山東|山东,Zaozhuang,枣庄市,PrefectureCity,19,19,11,19,0
4424,Li Xian,蠡縣,44774,115.5747,38.490063,CHN.10.1_1,Hebei,河北,Baoding,保定市,PrefectureCity,19,19,13,19,0
7433,Jiezhou Zhilizhou,解州直隸州,9697,110.85543823,34.911781311,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,19,19,2,0,19
5837,Zi Xian,資縣,96391,104.848358,29.784748,CHN.26.14_1,Sichuan,四川,Neijiang]],内江市,PrefectureCity,19,19,14,19,0
5060,Xiangcheng,項城,82051,114.832886,33.209309,CHN.12.17_1,Henan,河南,Zhoukou,周口市,PrefectureCity,19,19,6,19,0
5515,Dayu,大庾,40870,114.362829,25.399312,CHN.16.2_1,Jiangxi,江西,Ganzhou,赣州市,PrefectureCity,19,18,10,19,0
4861,De Zhou,德州,86034,116.28740692,37.451641083,CHN.23.2_1,Shandong,山東|山东,Dezhou,德州市,PrefectureCity,19,18,17,17,2
6849,Yongning Zhou,永寧州,511,105.48582458,25.910207748,CHN.8.1_1,Guizhou,貴州|贵州,Anshun,安顺市,PrefectureCity,19,18,2,0,19
5095,Henei,河內,82488,112.936989,35.089302,CHN.12.3_1,Henan,河南,Jiaozuo,焦作市,PrefectureCity,19,18,10,19,0
4778,Jie Zhou,解州,95277,110.85543823,34.911781311,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,19,18,10,19,0
5367,Sui'an,遂安,40822,118.738399,29.480773,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,19,18,9,19,0
8043,Yishui,沂水,1067,118.62394714,35.791027069,CHN.23.9_1,Shandong,山東|山东,Linyi,临沂市,PrefectureCity,19,17,2,0,19
6234,Maping,馬平,43785,109.404396,24.309988,CHN.7.10_1,Guangxi,廣西壯族自治區|广西壮族自治区,Liuzhou,柳州市,PrefectureCity,19,17,9,19,0
9048,Qin'an,秦安,259,105.6727066,34.863220215,CHN.5.12_1,Gansu,甘肅|甘肃,Tianshui,天水市,PrefectureCity,19,16,3,0,19
7970,Yangxin,陽信,85534,117.576309,37.640835,CHN.23.1_1,Shandong,山東|山东,Binzhou,滨州,Prefecture,19,16,4,0,19
9034,Ankang,安康,978,109.02696991,32.693626404,CHN.22.1_1,Shaanxi,陝西|陕西,Ankang,安康市,PrefectureCity,19,15,5,0,19
7976,Qingcheng,青城,1011,117.69149017,37.187835693,CHN.23.1_1,Shandong,山東|山东,Binzhou,滨州,Prefecture,19,15,5,0,19
5500,Fenyi,分宜,40970,114.693603,27.767023,CHN.16.9_1,Jiangxi,江西,Xinyu,新余市,PrefectureCity,19,14,11,19,0
8180,Xi Xian,息縣,617,114.72908783,32.342430115,CHN.12.14_1,Henan,河南,Xinyang,信阳市,PrefectureCity,19,14,6,0,19
8659,Bobai,博白,452,109.97141266,22.27586937,CHN.7.14_1,Guangxi,廣西壯族自治區|广西壮族自治区,Yulin,玉林市,PrefectureCity,19,13,7,0,19
8137,Hua Xian,滑縣,541,114.54346466,35.564453125,CHN.12.1_1,Henan,河南,Anyang,安阳市,PrefectureCity,19,13,6,0,19
5435,Jing'an,靖安,41116,115.356644,28.861025,CHN.16.10_1,Jiangxi,江西,Yichun,宜春市,PrefectureCity,19,13,9,19,0
7813,Ninghua,寧化,40285,116.65950775,26.26644516,CHN.4.7_1,Fujian,福建,Sanming,三明市,PrefectureCity,19,12,10,0,19
8185,Dengfeng,登封,568,113.02462006,34.455818176,CHN.12.16_1,Henan,河南,Zhengzhou,郑州市,PrefectureCity,19,12,9,0,19
7642,Ninghai,寧海,40661,121.42555237,29.28361702,CHN.31.6_1,Zhejiang,浙江,Ningbo,宁波市,PrefectureCity,19,11,8,0,19
7260,Ningjin,寧津,50,116.7928009,37.649856567,CHN.23.2_1,Shandong,山東|山东,Dezhou,德州市,PrefectureCity,19,10,12,0,19
8826,Renshou,仁壽,1265,104.14376831,30.00444603,CHN.26.11_1,Sichuan,四川,Meishan,眉山市,PrefectureCity,19,9,10,0,19
8404,Xinxing,新興,314,112.2250824,22.702915192,CHN.6.17_1,Guangdong,廣東|广东,Yunfu,云浮市,PrefectureCity,19,9,10,0,19
6816,Weng'an,甕安,474,107.48282623,27.073068619,CHN.8.6_1,Guizhou,貴州|贵州,QiannanBuyeiandMiao,黔南布依族苗族自治州,AutonomousPrefecture,19,7,12,0,19
