candidate_id,harvest_date,source,search_terms,category,publish_date,issuer_name,announcement_title,announcement_type,instrument_type,source_url,is_issuance_packet,is_noise,noise_reason,lgfv_name_signal,candidate_priority,already_human_validated,already_in_master_pool,llm_label_status,llm_label,llm_confidence,needs_source_packet,notes
sch_20260630_0023,2026-06-30,Shanghai Clearing House,交通投资,cp,2026-04-21,石家庄市交通投资开发有限公司,石家庄市交通投资开发有限公司2026年度第三期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260421_1768158.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0024,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-04-15,临沂城市建设投资集团有限公司,临沂城市建设投资集团有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260415_1763854.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0025,2026-06-30,Shanghai Clearing House,交通投资,cp,2026-04-14,昆明市交通投资集团有限责任公司,昆明市交通投资集团有限责任公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260414_1762706.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0026,2026-06-30,Shanghai Clearing House,交通投资,cp,2026-04-08,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第三期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260408_1758939.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0027,2026-06-30,Shanghai Clearing House,基础设施投资;投资控股,cp,2026-04-01,晋中市公用基础设施投资控股(集团)有限公司,晋中市公用基础设施投资控股(集团)有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202604/t20260401_1755571.html,1,0,,基础设施投资,high,0,0,pending,,,1,
sch_20260630_0028,2026-06-30,Shanghai Clearing House,交通投资,cp,2026-03-27,昆明市交通投资集团有限责任公司,昆明市交通投资集团有限责任公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260327_1752928.html,1,0,,交通投资,medium,0,0,pending,,,1,
sch_20260630_0029,2026-06-30,Shanghai Clearing House,城市建设投资;建设投资,cp,2026-03-24,荆门市城市建设投资有限公司,荆门市城市建设投资有限公司2026年度第一期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260324_1750690.html,1,0,,城市建设投资,high,0,0,pending,,,1,
sch_20260630_0030,2026-06-30,Shanghai Clearing House,城乡建设投资;建设投资,cp,2026-03-24,洛阳城乡建设投资集团有限公司,洛阳城乡建设投资集团有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260324_1750497.html,1,0,,城乡建设投资,high,0,0,pending,,,1,
sch_20260630_0031,2026-06-30,Shanghai Clearing House,城市发展投资,cp,2026-03-24,黄石市城市发展投资集团有限公司,黄石市城市发展投资集团有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260324_1750484.html,1,0,,城市发展投资,high,0,0,pending,,,1,
sch_20260630_0032,2026-06-30,Shanghai Clearing House,建设投资,cp,2026-03-23,安徽省宁国建设投资集团有限公司,安徽省宁国建设投资集团有限公司2026年度第二期短期融资券发行文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260323_1749715.html,1,0,,,low,0,0,pending,,,1,
sch_20260630_0033,2026-06-30,Shanghai Clearing House,交通投资,cp,2026-03-20,广西交通投资集团有限公司,广西交通投资集团有限公司2026年度第二期短期融资券发行披露文件,issuance_packet,cp,https://www.shclearing.com.cn/xxpl/fxpl/cp/202603/t20260320_1748334.html,1,0,,交通投资,medium,0,0,pending,,,1,
