GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.6.15_1,Guangdong,廣東|广东,Shenzhen,深圳市,Dìjíshì,PrefectureCity,1921.959
CHN.6.16_1,Guangdong,廣東|广东,Yangjiang,阳江市,Dìjíshì,PrefectureCity,7846.864
CHN.6.17_1,Guangdong,廣東|广东,Yunfu,云浮市,Dìjíshì,PrefectureCity,7807.964
CHN.6.18_1,Guangdong,廣東|广东,Zhanjiang,湛江市,Dìjíshì,PrefectureCity,12605.675
CHN.6.19_1,Guangdong,廣東|广东,Zhaoqing,肇庆市,Dìjíshì,PrefectureCity,14896.605
CHN.6.20_1,Guangdong,廣東|广东,Zhongshan,中山市,Dìjíshì,PrefectureCity,1739.190
CHN.6.21_1,Guangdong,廣東|广东,Zhuhai,珠海市,Dìjíshì,PrefectureCity,1597.646
CHN.7.1_1,Guangxi,廣西壯族自治區|广西壮族自治区,Baise,百色市,Dìjíshì,PrefectureCity,36379.274
CHN.7.2_1,Guangxi,廣西壯族自治區|广西壮族自治区,Beihai,北海市,Dìjíshì,PrefectureCity,3488.548
CHN.7.3_1,Guangxi,廣西壯族自治區|广西壮族自治区,Chongzuo,崇左市,Dìjíshì,PrefectureCity,17448.473
CHN.7.4_1,Guangxi,廣西壯族自治區|广西壮族自治区,Fangchenggang,防城港市,Dìjíshì,PrefectureCity,6029.401
CHN.7.5_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guigang,贵港市,Dìjíshì,PrefectureCity,10654.923
CHN.7.6_1,Guangxi,廣西壯族自治區|广西壮族自治区,Guilin,桂林市,Dìjíshì,PrefectureCity,27617.031
CHN.7.7_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hechi,河池市,Dìjíshì,PrefectureCity,33473.491
CHN.7.8_1,Guangxi,廣西壯族自治區|广西壮族自治区,Hezhou,贺州市,Dìjíshì,PrefectureCity,11695.661
CHN.7.9_1,Guangxi,廣西壯族自治區|广西壮族自治区,Laibin,来宾市,Dìjíshì,PrefectureCity,13183.112
CHN.7.10_1,Guangxi,廣西壯族自治區|广西壮族自治区,Liuzhou,柳州市,Dìjíshì,PrefectureCity,18839.382
CHN.7.11_1,Guangxi,廣西壯族自治區|广西壮族自治区,Nanning,南宁市,Dìjíshì,PrefectureCity,22160.663
CHN.7.12_1,Guangxi,廣西壯族自治區|广西壮族自治区,Qinzhou,钦州市,Dìjíshì,PrefectureCity,10761.619
CHN.7.13_1,Guangxi,廣西壯族自治區|广西壮族自治区,Wuzhou,梧州市,Dìjíshì,PrefectureCity,12556.125
CHN.7.14_1,Guangxi,廣西壯族自治區|广西壮族自治区,Yulin,玉林市,Dìjíshì,PrefectureCity,12889.985
CHN.8.1_1,Guizhou,貴州|贵州,Anshun,安顺市,Dìjíshì,PrefectureCity,9339.030
CHN.8.2_1,Guizhou,貴州|贵州,Bijie,毕节地区,Dìqu,Prefecture,26843.238
CHN.8.3_1,Guizhou,貴州|贵州,Guiyang,贵阳市,Dìjíshì,PrefectureCity,8057.853
CHN.8.4_1,Guizhou,貴州|贵州,Liupanshui,六盘水市,Dìjíshì,PrefectureCity,9993.113
CHN.8.5_1,Guizhou,貴州|贵州,QiandongnanMiaoandDong,黔东南苗族侗族自治州,Zìzhìzhou,AutonomousPrefecture,30357.793
