specification,method,observations,events,parameters_including_intercept,events_per_parameter,matrix_rank,condition_number,converged,iterations,elite_effect_probability_scale,elite_log_odds_coefficient,coefficient_standard_error_diagnostic,coefficient_wald_p_value_diagnostic,inference_note,warning,selection_role
matched_gold_historical_only,lpm,84,12,2,6.00000000,2,1.00600606,True,1,0.06637998,,0.04057049,0.10180520,HC1 normal approximation,,fixed sensitivity diagnostic; not ranked by sign or significance
matched_gold_historical_only,logit,84,12,2,6.00000000,2,1.00600606,True,6,0.05384502,0.45635392,0.27403698,0.09585281,inverse-information curvature diagnostic; not used for specification selection,,fixed sensitivity diagnostic; not ranked by sign or significance
matched_gold_historical_only,firth_logit,84,12,2,6.00000000,2,1.00600606,True,9,0.05554090,0.45309080,0.27027490,0.09365844,inverse-information curvature diagnostic; not used for specification selection,,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_historical_only,lpm,78,12,2,6.00000000,2,1.00647256,True,1,0.06182412,,0.04171548,0.13832889,HC1 normal approximation,,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_historical_only,logit,78,12,2,6.00000000,2,1.00647256,True,6,0.05205768,0.41206737,0.28186495,0.14375986,inverse-information curvature diagnostic; not used for specification selection,,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_historical_only,firth_logit,78,12,2,6.00000000,2,1.00647256,True,9,0.05383863,0.41070448,0.27792880,0.13947933,inverse-information curvature diagnostic; not used for specification selection,,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_full_available_controls,lpm,78,12,9,1.33333333,8,4063462001457814.50000000,True,1,0.00541842,,0.04565979,0.90553732,HC1 normal approximation,fewer than 5 events per parameter; design matrix is rank deficient; design-matrix condition number exceeds 30,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_full_available_controls,logit,78,12,9,1.33333333,8,4063462001457814.50000000,True,7,-0.00026434,-0.00260533,0.47215686,0.99559735,inverse-information curvature diagnostic; not used for specification selection,fewer than 5 events per parameter; design matrix is rank deficient; design-matrix condition number exceeds 30,fixed sensitivity diagnostic; not ranked by sign or significance
complete_control_full_available_controls,firth_logit,78,12,9,1.33333333,8,4063462001457814.50000000,True,15,0.00349710,0.02886672,0.42724852,0.94613253,inverse-information curvature diagnostic; not used for specification selection,fewer than 5 events per parameter; design matrix is rank deficient; design-matrix condition number exceeds 30,fixed sensitivity diagnostic; not ranked by sign or significance
